entry_id,category,domain,slug,tier,label,path
INFL-INF01,inflammation,immune,curcumin-infl-inf01,Black,FAIL,entries/immune/curcumin-infl-inf01/inflammation/v1
INFL-INF02,inflammation,immune,boswellia-infl-inf02,Black,FAIL,entries/immune/boswellia-infl-inf02/inflammation/v1
INFL-INF03,inflammation,immune,omega-3-infl-inf03,Black,FAIL,entries/immune/omega-3-infl-inf03/inflammation/v1
INFL-INF05,inflammation,immune,quercetin-infl-inf05,Black,FAIL,entries/immune/quercetin-infl-inf05/inflammation/v1
INFL-INF06,inflammation,immune,bromelain-infl-inf06,Black,FAIL,entries/immune/bromelain-infl-inf06/inflammation/v1
INFL-INF07,inflammation,immune,green-tea-infl-inf07,Black,FAIL,entries/immune/green-tea-infl-inf07/inflammation/v1
INFL-INF09,inflammation,immune,astaxanthin-infl-inf09,Black,FAIL,entries/immune/astaxanthin-infl-inf09/inflammation/v1
INFL-INF10,inflammation,immune,pycnogenol-infl-inf10,Black,FAIL,entries/immune/pycnogenol-infl-inf10/inflammation/v1
INFL-INF11,inflammation,immune,collagen-infl-inf11,Black,FAIL,entries/immune/collagen-infl-inf11/inflammation/v1
INFL-INF13,inflammation,immune,hyaluronic-acid-infl-inf13,Black,FAIL,entries/immune/hyaluronic-acid-infl-inf13/inflammation/v1
INFL-INF14,inflammation,immune,sulforaphane-infl-inf14,Black,FAIL,entries/immune/sulforaphane-infl-inf14/inflammation/v1
INFL-INF15,inflammation,immune,vitamin-c-infl-inf15,Black,FAIL,entries/immune/vitamin-c-infl-inf15/inflammation/v1
INFL-INF17,inflammation,immune,turmeric-oil-infl-inf17,Black,FAIL,entries/immune/turmeric-oil-infl-inf17/inflammation/v1
INFL-INF18,inflammation,immune,evening-primrose-infl-inf18,Black,FAIL,entries/immune/evening-primrose-infl-inf18/inflammation/v1
INFL-INF19,inflammation,immune,black-currant-infl-inf19,Black,FAIL,entries/immune/black-currant-infl-inf19/inflammation/v1
LONG-LON01,longevity,metabolic,nicotinamide-riboside-long-lon01,Gold,PASS,entries/metabolic/nicotinamide-riboside-long-lon01/longevity/v1
LONG-LON02,longevity,metabolic,nicotinamide-mononucleotide-long-lon02,Silver,PASS,entries/metabolic/nicotinamide-mononucleotide-long-lon02/longevity/v1
LONG-LON03,longevity,metabolic,resveratrol-long-lon03,Gold,PASS,entries/metabolic/resveratrol-long-lon03/longevity/v1
LONG-LON05,longevity,metabolic,fisetin-long-lon05,Gold,PASS,entries/metabolic/fisetin-long-lon05/longevity/v1
LONG-LON06,longevity,metabolic,quercetin-long-lon06,Gold,PASS,entries/metabolic/quercetin-long-lon06/longevity/v1
LONG-LON07,longevity,metabolic,spermidine-long-lon07,Gold,PASS,entries/metabolic/spermidine-long-lon07/longevity/v1
LONG-LON09,longevity,metabolic,melatonin-long-lon09,Gold,PASS,entries/metabolic/melatonin-long-lon09/longevity/v1
LONG-LON10,longevity,metabolic,coq10-long-lon10,Silver,PASS,entries/metabolic/coq10-long-lon10/longevity/v1
LONG-LON11,longevity,metabolic,astaxanthin-long-lon11,Gold,PASS,entries/metabolic/astaxanthin-long-lon11/longevity/v1
LONG-LON13,longevity,metabolic,alpha-ketoglutarate-long-lon13,Gold,PASS,entries/metabolic/alpha-ketoglutarate-long-lon13/longevity/v1
LONG-LON14,longevity,metabolic,collagen-long-lon14,Gold,PASS,entries/metabolic/collagen-long-lon14/longevity/v1
LONG-LON15,longevity,metabolic,glutathione-long-lon15,Gold,PASS,entries/metabolic/glutathione-long-lon15/longevity/v1
LONG-LON17,longevity,metabolic,berberine-long-lon17,Silver,PASS,entries/metabolic/berberine-long-lon17/longevity/v1
LONG-LON18,longevity,metabolic,metformin-analog-long-lon18,Gold,PASS,entries/metabolic/metformin-analog-long-lon18/longevity/v1
LONG-LON19,longevity,metabolic,rapamycin-microdose-long-lon19,Silver,PASS,entries/metabolic/rapamycin-microdose-long-lon19/longevity/v1
MUSC-MSK01,musculoskeletal,physiological,collagen-musc-msk01,Silver,PASS,entries/physiological/collagen-musc-msk01/musculoskeletal/v1
MUSC-MSK02,musculoskeletal,physiological,glucosamine-musc-msk02,Silver,PASS,entries/physiological/glucosamine-musc-msk02/musculoskeletal/v1
MUSC-MSK03,musculoskeletal,physiological,chondroitin-musc-msk03,Silver,PASS,entries/physiological/chondroitin-musc-msk03/musculoskeletal/v1
MUSC-MSK05,musculoskeletal,physiological,turmeric-musc-msk05,Red,AMBER,entries/physiological/turmeric-musc-msk05/musculoskeletal/v1
MUSC-MSK06,musculoskeletal,physiological,boswellia-musc-msk06,Gold,PASS,entries/physiological/boswellia-musc-msk06/musculoskeletal/v1
MUSC-MSK07,musculoskeletal,physiological,hyaluronic-acid-musc-msk07,Silver,PASS,entries/physiological/hyaluronic-acid-musc-msk07/musculoskeletal/v1
MUSC-MSK09,musculoskeletal,physiological,calcium-musc-msk09,Bronze,AMBER,entries/physiological/calcium-musc-msk09/musculoskeletal/v1
MUSC-MSK10,musculoskeletal,physiological,magnesium-musc-msk10,Gold,PASS,entries/physiological/magnesium-musc-msk10/musculoskeletal/v1
MUSC-MSK11,musculoskeletal,physiological,creatine-musc-msk11,Gold,PASS,entries/physiological/creatine-musc-msk11/musculoskeletal/v1
MUSC-MSK13,musculoskeletal,physiological,l-carnitine-musc-msk13,Gold,PASS,entries/physiological/l-carnitine-musc-msk13/musculoskeletal/v1
MUSC-MSK14,musculoskeletal,physiological,citrulline-musc-msk14,Bronze,AMBER,entries/physiological/citrulline-musc-msk14/musculoskeletal/v1
MUSC-MSK15,musculoskeletal,physiological,beetroot-musc-msk15,Silver,PASS,entries/physiological/beetroot-musc-msk15/musculoskeletal/v1
MUSC-MSK17,musculoskeletal,physiological,whey-protein-musc-msk17,Gold,PASS,entries/physiological/whey-protein-musc-msk17/musculoskeletal/v1
MUSC-MSK18,musculoskeletal,physiological,casein-musc-msk18,Gold,PASS,entries/physiological/casein-musc-msk18/musculoskeletal/v1
SLP-MAG-CORE,sleep,behavioral,magnesium-slp-mag-core,Black,FAIL,entries/behavioral/magnesium-slp-mag-core/sleep/v1
IMM-BETA-GLUC,immune_health,immune,beta-glucan-imm-beta-gluc,Silver,PASS,entries/immune/beta-glucan-imm-beta-gluc/immune_health/v1
IMM-QUERC-ALLERGY,immune_health,immune,quercetin-imm-querc-allergy,Bronze,AMBER,entries/immune/quercetin-imm-querc-allergy/immune_health/v1
IMM-LACT-ECZ,immune_health,immune,lactobacillus-rhamnosus-imm-lact-ecz,Silver,PASS,entries/immune/lactobacillus-rhamnosus-imm-lact-ecz/immune_health/v1
IMM-VITD-IMMUNE,immune_health,immune,vitamin-d-imm-vitd-immune,Silver,PASS,entries/immune/vitamin-d-imm-vitd-immune/immune_health/v1
